civilians,militants_terrorists_insurgents,security_forces,total_number_of_people,district,report_date,state_full,svmlabel1,objecttype,verb
0,3,1,4,srinagar,3/7/2000,Jammu and Kashmir,security,person,killed
0,7,0,7,baramulla,3/7/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,calcutta,3/7/2000,,terrorist,person,arrested
,7,,7,kamrup,3/7/2000,Assam,terrorist,person,surrendered
0,2,0,2,karimnagar,3/8/2000,,terrorist,person,killed
0,1,0,1,tinsukia,3/8/2000,Assam,civilian,person,killed
0,0,1,1,churachandpur,3/9/2000,Manipur,civilian,person,injured
1,0,0,1,srinagar,3/9/2000,,civilian,person,arrested
0,3,0,3,jorhat,3/12/2000,,terrorist,person,arrested
3,0,0,3,sibsagar,3/12/2000,,civilian,person,arrested
1,0,8,9,garwah,3/13/2000,Bihar,security,person,killed
1,0,0,1,gadchiroli,3/14/2000,Maharashtra,civilian,person,killed
0,3,0,3,srinagar,3/15/2000,Jammu and Kashmir,terrorist,person,killed
,2,,2,ganderbal,3/15/2000,Jammu and Kashmir,terrorist,person,killed
0,1,1,2,poonch,3/15/2000,Jammu and Kashmir,terrorist,person,killed
0,4,0,4,north tripura,3/15/2000,Tripura,civilian,person,killed
4,0,0,4,north tripura,3/15/2000,Tripura,civilian,person,injured
0,2,0,2,gurdaspur,3/16/2000,,terrorist,person,arrested
0,6,2,8,budgam,3/17/2000,Jammu and Kashmir,security,person,killed
0,0,1,1,dhubri,3/17/2000,,civilian,person,killed
2,0,0,2,dhubri,3/17/2000,,civilian,person,injured
,,1,1,jammu,3/18/2000,,security,person,wounded
0,1,0,1,jammu,3/18/2000,,terrorist,person,arrested
0,2,2,4,poonch,3/18/2000,,security,person,killed
0,0,1,1,srinagar,3/18/2000,,civilian,person,injured
0,1,0,1,badgam,3/18/2000,,terrorist,person,killed
0,3,0,3,west godavari,3/18/2000,,civilian,person,killed
,3,,3,guntur,3/21/2000,,terrorist,person,killed
0,1,0,1,jammu,3/21/2000,,security,person,arrested
0,0,1,1,srinagar,3/22/2000,Jammu and Kashmir,civilian,person,injured
,10,,10,nalbari,3/23/2000,,terrorist,person,killed
0,1,0,1,kamrup,3/23/2000,,terrorist,person,killed
0,2,0,2,kamrup,3/23/2000,,terrorist,person,killed
0,1,0,1,kamrup,3/23/2000,,terrorist,person,killed
0,2,0,2,nalgonda,3/23/2000,Andhra Pradesh,terrorist,person,killed
0,0,0,0,kamrup,3/24/2000,,civilian,person,killed
0,8,0,8,rajouri,3/24/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,nagaon,3/25/2000,Assam,civilian,person,arrested
1,0,0,1,anantnag,3/25/2000,Jammu and Kashmir,civilian,person,arrested
0,3,0,3,baramulla,3/26/2000,Jammu and Kashmir,terrorist,person,killed
0,5,0,5,anantnag,3/26/2000,Jammu and Kashmir,civilian,person,killed
,1,,1,nalbari,3/26/2000,Assam,terrorist,person,killed
5,,,5,bishnupur,3/26/2000,Manipur,civilian,person,killed
2,9,1,12,jammu,3/28/2000,,civilian,person,killed
5,0,0,5,jammu,3/28/2000,,civilian,person,injured
0,2,0,2,kupwara,3/28/2000,,civilian,person,killed
2,0,0,2,baramulla,3/29/2000,Jammu and Kashmir,civilian,person,killed
2,0,0,2,baramulla,3/29/2000,Jammu and Kashmir,civilian,person,injured
0,2,0,2,kupwara,3/29/2000,Jammu and Kashmir,terrorist,person,killed
0,4,0,4,kupwara,3/29/2000,Jammu and Kashmir,civilian,person,killed
0,1,0,1,kupwara,3/29/2000,Jammu and Kashmir,terrorist,person,killed
0,10,0,10,dantewada,3/29/2000,Madhya Pradesh,terrorist,person,arrested
0,1,0,1,gurdaspur,3/29/2000,Punjab,terrorist,person,arrested
0,0,0,0,srinagar,3/31/2000,Jammu and Kashmir,terrorist,person,killed
0,1,0,1,reasi,3/31/2000,Jammu and Kashmir,civilian,person,injured
1,0,1,2,udhampur,3/31/2000,Jammu and Kashmir,security,person,killed
2,0,0,2,srinagar,3/31/2000,Jammu and Kashmir,civilian,person,injured
4,0,0,4,hazaribagh,3/31/2000,Bihar,civilian,person,killed
,5,,5,aurangabad,3/31/2000,Bihar,terrorist,person,arrested
0,1,0,1,kamrup,3/31/2000,,terrorist,person,killed
0,1,0,1,west tripura,3/31/2000,Tripura,civilian,person,killed
1,2,2,5,kupwara,4/1/2000,Jammu and Kashmir,security,person,killed
5,0,0,5,anantnag,4/1/2000,Jammu and Kashmir,civilian,person,killed
